title,link
"""
        Estudante do RS vence prêmio de matemática na Sérvia com equação sobre sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=36&r=1684280166937&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11560378%2F&syn=False&key=23ca492d300ac3f06dfb021bf11c39d0"""
"""
        Feira para setor de supermercados traz a importância da sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=37&r=1684280166941&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11545319%2F&syn=False&key=f9f2c6b941b5fd29e65c6927ec2dc919"""
"""
        Glocal Roraima discute sustentabilidade na Amazônia
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=38&r=1684280166945&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11526817%2F&syn=False&key=ab03fe74902d47818506fb06761e22f1"""
"""
        Construexpo Atibaia prioriza o B2B e traz diversos sistemas construtivos com foco na sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=39&r=1684280166950&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fvale-do-paraiba-regiao%2Fespecial-publicitario%2Fconstruexpo%2Fnoticia%2F2023%2F04%2F18%2Fconstruexpo-atibaia-prioriza-o-b2b-e-traz-diversos-sistemas-construtivos-com-foco-na-sustentabilidade.ghtml&syn=False&key=96b2118f1ff1d384948dfb11c6f566a2"""
"""
        Palestra sobre sustentabilidade do semiárido é promovida em Caruaru neste sábado (15)
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=40&r=1684280166954&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fcaruaru-regiao%2Fnoticia%2F2023%2F04%2F14%2Fpalestra-sobre-sustentabilidade-do-semiarido-e-promovida-em-caruaru-neste-sabado-15.ghtml&syn=False&key=71a29952b352a9cfb68d699e91651dd5"""
"""
        São José dos campos tem feira de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=41&r=1684280166958&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11538101%2F&syn=False&key=54ac02a4c3e00123598a67f86b88f07b"""
"""
        Glocal Roraima discute sustentabilidade na Amazônia
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=42&r=1684280166961&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11527804%2F&syn=False&key=b5a4de70e4adfc86f873cbba8c884188"""
"""
        Estudante do RS vence prêmio de matemática na Sérvia com equação sobre sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=44&r=1684280166969&u=https%3A%2F%2Fg1.globo.com%2Frs%2Frio-grande-do-sul%2Fvideo%2Festudante-do-rs-vence-premio-de-matematica-na-servia-com-equacao-sobre-sustentabilidade-11550596.ghtml&syn=False&key=706ad8b5109330a982765c627c7b8e9e"""
"""
        Sustentabilidade, tecnologia, política: especialistas comentam desafios do agro brasileiro em 2023
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=45&r=1684280166973&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fribeirao-preto-franca%2Festacao-agro%2Fnoticia%2F2023%2F04%2F16%2Fsustentabilidade-tecnologia-politica-especialistas-comentam-desafios-do-agro-brasileiro-em-2023.ghtml&syn=False&key=6714087be28825c3562ce257b6849f49"""
"""
        The Ocean Race: sustentabilidade no evento, na competição e nas cidades por onde passa
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=46&r=1684280168217&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11549153%2F&syn=False&key=895cf745afdd941faa84e08ef21e4731"""
