title,link
"""
        Saiba como tornar a criação de bovinos mais sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=449&r=1684280113122&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10677390%2F&syn=False&key=cc61ec1d5864625b0cef6651733cc523"""
"""
        Banco comemora 80 anos de desenvolvimento sustentável na região
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=451&r=1684280113586&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10663333%2F&syn=False&key=5cad996df541b01a74702de09eeed1d4"""
"""
        Moradores do Alto da Boa Vista criam comunidade sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=452&r=1684280113591&u=https%3A%2F%2Fg1.globo.com%2Frj%2Frio-de-janeiro%2Fbom-dia-rio%2Fvideo%2Fmoradores-do-alto-da-boa-vista-criam-comunidade-sustentavel-10662415.ghtml&syn=False&key=be34a77ef2fa5c61961e0ae4407223ef"""
"""
        43 cidades do Pará estão entre as piores em desenvolvimento sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=457&r=1684280113612&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10750509%2F&syn=False&key=19f7139d828801c4010ea3cb944383c5"""
"""
        Livro que apresenta formas de desenvolvimento sustentável na Amazônia é lançado
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=461&r=1684280113629&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10736749%2F&syn=False&key=e30b5598d4094df0ab6fb58419b0e9a6"""
"""
        São Caetano do Sul é a cidade masi sustentável do Brasil
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=465&r=1684280113646&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-paulo%2Fsp2%2Fvideo%2Fsao-caetano-do-sul-e-a-cidade-masi-sustentavel-do-brasil-10742565.ghtml&syn=False&key=fe5ae769cfa6fcaaea4daa51434aa9b3"""
"""
        'Rural sustentável e regularização ambiental' são temas de mesa redonda em varejão de Piracicaba
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=467&r=1684280114278&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpiracicaba-regiao%2Fnoticia%2F2022%2F06%2F28%2Frural-sustentavel-e-regularizacao-ambiental-sao-temas-de-mesa-redonda-em-varejao-de-piracicaba.ghtml&syn=False&key=3e2a968e80c1bc14c15ee7a9bfacf350"""
"""
        Fórum Internacional do Turismo discute desenvolvimento sustentável do Pantanal
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=468&r=1684280114282&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10643612%2F&syn=False&key=93ee619a691462465e03dcd05a61fe8f"""
"""
        Programa em MT apresenta manejo sustentável das florestas e minimiza impactos ambientais
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=469&r=1684280114286&u=https%3A%2F%2Fg1.globo.com%2Fmt%2Fmato-grosso%2Fnoticia%2F2022%2F07%2F15%2Fprograma-em-mt-apresenta-manejo-sustentavel-das-florestas-e-minimiza-impactos-ambientais.ghtml&syn=False&key=ce47c98a09bfbebfced17cdf854c65cd"""
"""
        Família que vivia em barraco ganha casa sustentável construída por alunos do ensino médio, no Cariri
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=472&r=1684280114345&u=https%3A%2F%2Fg1.globo.com%2Fce%2Fceara%2Fcariri%2Fnoticia%2F2022%2F08%2F08%2Ffamilia-que-vivia-em-barraco-ganha-casa-sustentavel-construida-por-alunos-do-ensino-medio-no-cariri.ghtml&syn=False&key=e884c08e0da9a60a34e73350fbd57268"""
