titulo,link
"
        Barretos adere Pacto Global de Prefeitos pelo Clima e Energia
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=51&r=1684280855918&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fribeirao-preto-franca%2Fespecial-publicitario%2Fprefeitura-de-barretos%2Fprefeitura-de-barretos%2Fnoticia%2F2023%2F05%2F05%2Fbarretos-adere-pacto-global-de-prefeitos-pelo-clima-e-energia.ghtml&syn=False&key=2199221ceec12663e95617f8cab9e905
"
        Confira quais são os objetivos de desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=52&r=1684280855923&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11536246%2F&syn=False&key=a06e4500b84fc6bbb1506907154eebbe
"
        'Caminho do Lixo': população de Manaus se une para criar projetos sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=53&r=1684280855926&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11477353%2F&syn=False&key=c821ea94b076e4541b5d76f89c5503d2
"
        Cooperativa do Arquipélago do Bailique faz manejo sustentável do açaí
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=54&r=1684280855930&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11546534%2F&syn=False&key=e6a400c7623467ad7169ac97f673a77e
"
        Sisteminha Embrapa: projeto permite produção sustentável e integrada de alimentos
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=55&r=1684280855934&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11570324%2F&syn=False&key=1f3921045da40c28c7ca0173c918a5d6
"
        FRAM 38 anos: Atividades e projetos sustentáveis fazem parte da história da Fundação
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=56&r=1684280856014&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11473074%2F&syn=False&key=caa3c9330bfa632be11db8ed0f064c37
"
        FRAM 38 anos: Atividades e projetos sustentáveis fazem parte da história da Fundação
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=57&r=1684280856017&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11469983%2F&syn=False&key=fc71a0e783c7a67b387a316f97c49d45
"
        Empresas podem ajudar a conservar áreas públicas em Maceió com ações sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=58&r=1684280856021&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11466965%2F&syn=False&key=49809eed1eefc25a7788a39af657d9f0
"
        Empreendedores fazem a diferença com negócios sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=59&r=1684280856025&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11387096%2F&syn=False&key=98f646f0d2683de4361736d8b8a13287
"
        Número de empreendimentos sustentáveis crescem na região
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=60&r=1684280856028&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11374847%2F&syn=False&key=5b376c1ada7424862cfed05aed72e7cc
"
        Número de empreendimentos sustentáveis crescem na região
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=61&r=1684280856450&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11374847%2F&syn=False&key=5b376c1ada7424862cfed05aed72e7cc
"
        Pesquisa mostra que 50% dos consumidores de carne buscam por produtos sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=62&r=1684280856455&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11452965%2F&syn=False&key=0d4c314ee46d4d17bc20ebadbd4356f9
"
        Incubadora de Empresas da UFT incentiva projetos sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=63&r=1684280856458&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11409516%2F&syn=False&key=43691e8f4343cdc5d0e4e2363a81ef16
"
        Em Belém, 'Encontro Cidades da Amazônia e do Brasil' debate futuro das cidades
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=64&r=1684280856463&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fnoticia%2F2023%2F05%2F05%2Fem-belem-encontro-cidades-da-amazonia-e-do-brasil-debate-o-futuro-das-cidades.ghtml&syn=False&key=0d45ae2706db4a3fc446e68a4df1a904
"
        Iniciativas dão destino mais sustentável a toneladas de tecido que iam parar no lixo
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=65&r=1684280856467&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2023%2F04%2F15%2Finiciativas-sao-destino-mais-sustentavel-a-toneladas-de-tecido-que-iam-parar-no-lixo.ghtml&syn=False&key=54e75ff3339eed0ebc653e460ea00cf2
"
        Cooperativa do Arquipélago do Bailique sustenta famílias de mais de 600 ribeirinhos com manejo sustentável do açaí
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=66&r=1684280856470&u=https%3A%2F%2Fg1.globo.com%2Fprofissao-reporter%2Fnoticia%2F2023%2F04%2F21%2Fcooperativa-do-arquipelago-do-bailique-sustenta-familias-de-mais-de-600-ribeirinhos-com-manejo-sustentavel-do-acai.ghtml&syn=False&key=4e7b71233af4be99f14442e9eb51a38b
"
        Feira ""Mulheres que Somam"" começa hoje em Curitiba
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=67&r=1684280856474&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11601444%2F&syn=False&key=02a8fa3a52992c203a07b4fc6722eb61
"
        Manaus recebe em junho Feira da Rosenbaum
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=68&r=1684280856478&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F02%2Fmanaus-recebe-em-junho-feira-da-rosenbaum.ghtml&syn=False&key=e4790e6492335073e52604b2ec3d755f
"
        Parque Ecológico Imigrantes tem estrutura sustentável e filosofia contra o desperdício
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=69&r=1684280856483&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-paulo%2Fantena-paulista%2Fvideo%2Fparque-ecologico-imigrantes-tem-estrutura-sustentavel-e-filosofia-contra-o-desperdicio-11536759.ghtml&syn=False&key=b96c11aa5252ad3878da27dfba65487c
"
        Senado aprova MP que permite comercializar crédito de carbono em concessões florestais
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=70&r=1684280856485&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2023%2F05%2F02%2Fsenado-aprova-mp-que-permite-comercializar-credito-de-carbono-em-concessoes-florestais.ghtml&syn=False&key=851644d09d2b9f94aabb72cf0c5d327c
"
        Glocal Roraima propõe metas para desenvolvimento sustentável da Amazônia em carta
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=71&r=1684280856489&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F12%2Fglocal-roraima-propoe-metas-para-desenvolvimento-sustentavel-da-amazonia-em-carta.ghtml&syn=False&key=117aacf1b87939043b0358b0cf543a0d
